email,lat,long,size,name,type
mailto:CrieffPrimary@pkc.gov.uk,56.37124,-3.84179,328,Crieff,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:CrieffPrimary@pkc.gov.uk,56.37124,-3.84179,328,Crieff,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Crossfordps.enquiries@fife.gov.uk,56.0637,-3.50572,209,Crossford,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Crossfordps.enquiries@fife.gov.uk,56.0637,-3.50572,209,Crossford,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Crossgatesps.enquiries@fife.gov.uk,56.08405,-3.38022,206,Crossgates,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Crossgatesps.enquiries@fife.gov.uk,56.08405,-3.38022,206,Crossgates,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Culrossps.enquiries@fife.gov.uk,56.0555,-3.62638,43,Culross,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Dairsieps.enquiries@fife.gov.uk,56.34538,-2.95,50,Dairsie,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Dalgetybayps.enquiries@fife.gov.uk,56.03824,-3.34933,366,Dalgety Bay,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Dalgetybayps.enquiries@fife.gov.uk,56.03824,-3.34933,366,Dalgety Bay,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Denbeathps.enquiries@fife.gov.uk,56.17813,-3.02745,196,Denbeath,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Denbeathps.enquiries@fife.gov.uk,56.17813,-3.02745,196,Denbeath,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Denendps.enquiries@fife.gov.uk,56.14204,-3.26109,174,Denend,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Dunbarney@pkc.gov.uk,56.35042,-3.40876,192,Dunbarney,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Dunbarney@pkc.gov.uk,56.35042,-3.40876,192,Dunbarney,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Dunbogps.enquiries@fife.gov.uk,56.35186,-3.16438,57,Dunbog,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Dunnikierps.enquiries@fife.gov.uk,56.11666,-3.16344,368,Dunnikier,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Dunnikierps.enquiries@fife.gov.uk,56.11666,-3.16344,368,Dunnikier,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Dunning@pkc.gov.uk,56.31356,-3.58929,102,Dunning,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Dward@scotborders.gov.uk,55.88731,-2.16012,60,Coldingham,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Dward@scotborders.gov.uk,55.88731,-2.16012,60,Coldingham,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Dysartps.enquiries@fife.gov.uk,56.12929,-3.12229,158,Dysart,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Dysartps.enquiries@fife.gov.uk,56.12929,-3.12229,158,Dysart,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Eastwemyssps.enquiries@fife.gov.uk,56.15976,-3.06549,126,East Wemyss,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Eastwemyssps.enquiries@fife.gov.uk,56.15976,-3.06549,126,East Wemyss,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Enquiries-Greenbrae@aberdeencity.gov.uk,57.19439,-2.09905,158,Greenbrae,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Enquiries-Greenbrae@aberdeencity.gov.uk,57.19439,-2.09905,158,Greenbrae,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Errol@pkc.gov.uk,56.39336,-3.20927,170,Errol,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Errol@pkc.gov.uk,56.39336,-3.20927,170,Errol,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Ewharton@scotborders.gsx.gov.uk,55.77577,-2.35033,352,Duns,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Ewharton@scotborders.gsx.gov.uk,55.77577,-2.35033,352,Duns,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Fairisleps.enquiries@fife.gov.uk,56.13004,-3.18585,345,Fair Isle,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Falklandps.enquiries@fife.gov.uk,56.2525,-3.20238,127,Falkland,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Falklandps.enquiries@fife.gov.uk,56.2525,-3.20238,127,Falkland,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Fmolloy@scotborders.gsx.gov.uk,55.65255,-2.25722,126,Coldstream,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Fmolloy@scotborders.gsx.gov.uk,55.65255,-2.25722,126,Coldstream,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Forgandenny@pkc.gov.uk,56.34771,-3.47786,58,Forgandenny,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Forteviot@pkc.gov.uk,56.34068,-3.53514,25,Forteviot,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Fossoway@pkc.gov.uk,56.18764,-3.54879,127,Fossoway,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Fossoway@pkc.gov.uk,56.18764,-3.54879,127,Fossoway,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Foulfordps.enquiries@fife.gov.uk,56.11632,-3.35482,293,Foulford,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Foulfordps.enquiries@fife.gov.uk,56.11632,-3.35482,293,Foulford,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Ggilchrist@scotborders.gov.uk,55.47908,-2.54948,207,Parkside,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Ggilchrist@scotborders.gov.uk,55.47908,-2.54948,207,Parkside,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Glenlyon@pkc.gov.uk,56.59448,-4.31144,14,Glenlyon,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Glenlyon@pkc.gov.uk,56.59448,-4.31144,14,Glenlyon,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Gmckenzie@scotborders.gov.uk,55.62317,-2.81464,62,Glendinning Terrace,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Gmckenzie@scotborders.gov.uk,55.62317,-2.81464,62,Glendinning Terrace,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Goodlyburn@pkc.gov.uk,56.40476,-3.45758,199,Goodlyburn,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Goodlyburn@pkc.gov.uk,56.40476,-3.45758,199,Goodlyburn,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Grandtully@pkc.gov.uk,56.65804,-3.77418,18,Grandtully,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Greenloaning@pkc.gov.uk,56.24471,-3.88322,15,Greenloaning,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Guildtown@pkc.gov.uk,56.47163,-3.40727,35,Guildtown,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Headteacher@camstradden-pri.glasgow.sch.uk,55.91629,-4.35444,203,Camstradden,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:HillofBeathps.enquiries@fife.gov.uk,56.09602,-3.36735,143,Hill of Beath,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:HillofBeathps.enquiries@fife.gov.uk,56.09602,-3.36735,143,Hill of Beath,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:HolyNamercps.enquiries@fife.gov.uk,56.08503,-3.56821,51,Holy Name,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Hynheadse.enquiries@fife.gov.uk,56.17752,-3.02842,17,Hyndhead,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Hynheadse.enquiries@fife.gov.uk,56.17752,-3.02842,17,Hyndhead,http://data.opendatascotland.org/def/concept/education/stages-of-education/special
mailto:INAileymill@glowscotland.onmicrosoft.com,55.94047,-4.81718,313,Aileymill,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INAllSaints@glowscotland.onmicrosoft.com,55.93456,-4.738,343,All Saints,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INArdgowan@glowscotland.onmicrosoft.com,55.94941,-4.76878,378,Ardgowan,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INClydeview@glowscotland.onmicrosoft.com,55.95184,-4.80113,1127,Clydeview,http://data.opendatascotland.org/def/concept/education/stages-of-education/secondary
mailto:INClydeview@glowscotland.onmicrosoft.com,55.95184,-4.80113,1127,Clydeview Academy,http://data.opendatascotland.org/def/concept/education/stages-of-education/secondary
mailto:INGlenburn@glowscotland.onmicrosoft.com,55.93564,-4.81888,83,Glenburn,http://data.opendatascotland.org/def/concept/education/stages-of-education/special
mailto:INGourock@glowscotland.onmicrosoft.com,55.95702,-4.81353,230,Gourock,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INInverclydeAc@glowscotland.onmicrosoft.com,55.9401,-4.81072,1045,Inverclyde Academy,http://data.opendatascotland.org/def/concept/education/stages-of-education/secondary
mailto:INInverkip@glowscotland.onmicrosoft.com,55.90778,-4.87023,238,Inverkip,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:INInverkip@glowscotland.onmicrosoft.com,55.90778,-4.87023,238,Inverkip,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INKilmacolm@glowscotland.onmicrosoft.com,55.8909,-4.63321,219,Kilmacolm,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:INKilmacolm@glowscotland.onmicrosoft.com,55.8909,-4.63321,219,Kilmacolm,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INKilmacolm@glowscotland.onmicrosoft.com,55.89334,-4.62799,219,Kilmacolm,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:INKilmacolm@glowscotland.onmicrosoft.com,55.89334,-4.62799,219,Kilmacolm,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INKingsOak@glowscotland.onmicrosoft.com,55.93943,-4.73197,317,King's Oak,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:INKingsOak@glowscotland.onmicrosoft.com,55.93943,-4.73197,317,King's Oak,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INLadyAlice@glowscotland.onmicrosoft.com,55.94199,-4.78597,239,Lady Alice,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:INLadyAlice@glowscotland.onmicrosoft.com,55.94199,-4.78597,239,Lady Alice,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INLadyAlice@glowscotland.onmicrosoft.com,55.95244,-4.77123,239,Lady Alice,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:INLadyAlice@glowscotland.onmicrosoft.com,55.95244,-4.77123,239,Lady Alice,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INLilybank@glowscotland.onmicrosoft.com,55.93521,-4.70315,55,Lilybank,http://data.opendatascotland.org/def/concept/education/stages-of-education/special
mailto:INMoorfoot@glowscotland.onmicrosoft.com,55.95065,-4.83364,283,Moorfoot,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:INMoorfoot@glowscotland.onmicrosoft.com,55.95065,-4.83364,283,Moorfoot,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INMoorfoot@glowscotland.onmicrosoft.com,55.95065,-4.83364,4,Garvel,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:INMoorfoot@glowscotland.onmicrosoft.com,55.95065,-4.83364,4,Garvel,http://data.opendatascotland.org/def/concept/education/stages-of-education/special
mailto:INNewark@glowscotland.onmicrosoft.com,55.92722,-4.66584,448,Newark,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INStAndrews@glowscotland.onmicrosoft.com,55.945,-4.81498,248,St Andrew's Primary,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:INStAndrews@glowscotland.onmicrosoft.com,55.945,-4.81498,248,St Andrew's Primary,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INStFrancis@glowscotland.onmicrosoft.com,55.92215,-4.65968,232,St Francis',http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INStJohns@glowscotland.onmicrosoft.com,55.93508,-4.70113,189,St John's,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INStJosephs@glowscotland.onmicrosoft.com,55.94416,-4.79772,153,St Joseph's,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INStMarys@glowscotland.onmicrosoft.com,55.95227,-4.7657,278,St Mary's,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INStMichaels@glowscotland.onmicrosoft.com,55.92722,-4.66584,243,St Michael's,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INStNinians@glowscotland.onmicrosoft.com,55.95105,-4.82282,320,St Ninian's,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INStPatricks@glowscotland.onmicrosoft.com,55.94237,-4.76838,280,St Patrick's,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INWemyssBay@glowscotland.onmicrosoft.com,55.89146,-4.88828,145,Wemyss Bay,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:INWemyssBay@glowscotland.onmicrosoft.com,55.89146,-4.88828,145,Wemyss Bay,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INWemyssBay@glowscotland.onmicrosoft.com,55.9428,-4.74172,145,Wemyss Bay,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:INWemyssBay@glowscotland.onmicrosoft.com,55.9428,-4.74172,145,Wemyss Bay,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:INWhinhill@glowscotland.onmicrosoft.com,55.93761,-4.77411,281,Whinhill primary school,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:INWhinhill@glowscotland.onmicrosoft.com,55.93761,-4.77411,281,Whinhill primary school,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Inchture@pkc.gov.uk,56.44481,-3.17192,148,Inchture,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Inchture@pkc.gov.uk,56.44481,-3.17192,148,Inchture,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Inchture@pkc.gov.uk,56.44506,-3.16963,148,Inchture,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Inchture@pkc.gov.uk,56.44506,-3.16963,148,Inchture,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Invergowrie@pkc.gov.uk,56.45933,-3.06248,182,Invergowrie,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Invergowrie@pkc.gov.uk,56.45933,-3.06248,182,Invergowrie,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Inverkeithingps.enquiries@fife.gov.uk,56.03445,-3.38819,294,Inverkeithing,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Inzievarps.enquiries@fife.gov.uk,56.08503,-3.56821,167,Inzievar,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Inzievarps.enquiries@fife.gov.uk,56.08503,-3.56821,167,Inzievar,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:JWilson3@scotborders.gov.uk,55.65356,-3.20422,361,Kingsland,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:JWilson3@scotborders.gov.uk,55.65356,-3.20422,361,Kingsland,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Keltyps.enquiries@fife.gov.uk,56.13542,-3.38175,388,Kelty,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Kennowayps.enquiries@fife.gov.uk,56.20779,-3.04864,379,Kennoway,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Kennowayps.enquiries@fife.gov.uk,56.20779,-3.04864,379,Kennoway,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
mailto:Kennowayps.enquiries@fife.gov.uk,56.21356,-3.05104,379,Kennoway,http://data.opendatascotland.org/def/concept/education/stages-of-education/pre-school
mailto:Kennowayps.enquiries@fife.gov.uk,56.21356,-3.05104,379,Kennoway,http://data.opendatascotland.org/def/concept/education/stages-of-education/primary
